free_text,label_id,dataset
@linda bui lên mở clip cô minh hiếu nấu vàng đi cô minh hiếu lúc đó đang rửa vàng á,0,vihsd
"no no, chỉ có bắc kì thôi nhé, nam k kì",0,vihsd
"""hàng order hộp hộp còn hộp lê_thảo""",0,vlsp
hương him cùng cảnh ngộ phùng khắc hoàng linh,0,vihsd
"""lớp tiếng hàn còn nhận học_sinh không""",0,vlsp
"""thành tinh lâu rồi nha chin chin phương uyên""",0,vlsp
"""trân bùi sắp thành_công""",0,vlsp
được quả áo khá chất thầy ơi,0,vihsd
chi yeu xinh qua..em cung muốn làm đep qua..nhung em ở mai ngoại bắc cơ chi ạ,0,vihsd
o doi la vay luc nguoi ta ha minh van con thi  chuoi nguoi ta cang ngay cang manh bay  gio no tuc roi no quay lai no can cang nhieu hon xua   nghe cho da tai nhaoi nguoi that la  mat the dien cua nguoi vn  bo tay  ban thieu,1,vihsd
buồn... cười,0,vihsd
toàn trịnh đạo đức +0,0,vihsd
con me gia mat day vo van hoa,2,vihsd
"""miệng nam_mô sáng ăn cơm chùa tối đi_khách""",0,vlsp
"""ôi nồi""",0,vlsp
dạo này nhìn chú em đẹp troai hơn đó...,0,vihsd
linh vũ toi xin video,0,vihsd
anh ba láo nháo là tú xiên giờ,2,vihsd
"""tao nghe rồi_đây tại_sao tao lại nghe mày ca tao_bổng nhớ_thương cu lệ rơi tao thương hắn hơn mày""",0,vlsp
"anh lân, máu lạnh nhỉ, khg cười té ghế mất kkkk",0,vihsd
đừng buồn anh tôi :)),0,vihsd
"""nhớ đông triều vl""",0,vlsp
nay trần dần mặc áo khác hẳn mọi ngày.có lẽ chuyển bị tiếp đón corona nhập hồn đây..,0,vihsd
sống chậm thế:)),0,vihsd
hot quá thầy ơi,0,vihsd
pham my linh hahahaha tết làm 1 phát,0,vihsd
tưởng chết mẹ hết rồi,0,vihsd
"""nguyễn_đào shared live video phụng  ặ   ưỡ""",0,vlsp
đọc xuyên câu k suy nghĩ thử xem..rất ngộ nghĩnh,0,vihsd
diễm quỳnh gét burn real vãi l,1,vihsd
"""cứt ỉa qá""",0,vlsp
"""nó gần biết nói tiếng người rồi diệp dung dung dung""",0,vlsp
xem xong hâm mộ cô luôn,0,vihsd
té ghế. kkk,0,vihsd
"mình góp ý nhé. ý kiến của mình là như này, mình nói ra nếu có mất lòng anh em thì mình cũng chịu, tại vì mình cũng chỉ muốn đóng góp một chút ý kiến cho anh em biết là mình cũng là một người có ý kiến, mình là con người không thích nói dài dòng, chỉ đ",0,vihsd
"""chỉ có_thể nói là xuất_sắc em mời các xị iuuu oder ạhhh thư lê""",0,vlsp
gà rừng kí hiệu im lặng,0,vihsd
móa đang ăn bún mắm xem bài quyền tao cừi sặc,0,vihsd
"""lầy vl""",0,vlsp
"""tao trân_trọng nhắc lại đây không phải là quà sanh nhựt đây là thứ bịt miệng mày để mày khỏi lèo_nhèo mỗi khi tao vẽ idea cover from an artist đan hạ_na na""",1,vlsp
russian gamers,0,vihsd
chị nhưng thật đáng sợ,0,vihsd
may  trước  đay  ninh  no  chui  liên  oanh  ma  gio  lai  quay  ra  chui  no  ha  cho  may  sang  mặt  ra  chua,2,vihsd
lmht2020xthayba nha ae,0,vihsd
tính ta ông cũng tốt hơn khối người . về thôi,0,vihsd
giờ mới nghe ....trời đất ơi cái miệng nó dơ bẩn vô cùng ...bởi vậy giờ cả thế giới đều khinh bỉ ...trời ơi ...khẩu nghiệp vô cùng ..,2,vihsd
đây ms gi5,0,vihsd
cứ như thế này thì duyệt mẹ đi cho nhanh,0,vihsd
"""bài thơ mang âm_hưởng dânca nghệ rất hay và đùng với hoàn_cảnh của người nông_dân""",0,vlsp
đưa em về thanh xuân,0,vihsd
thằng trung có con *** to lắm,2,vihsd
sao lại nói bắc nọ bắc kia bậy rồi,0,vihsd
minh vũ,0,vihsd
"""chiếc boeing không kịp dừng lại cuối đường_băng lao xuống sông cùng và thành_viên phi hành_đoàn máy_bay boeing lao xuống sông toàn_bộ người sống_sót thần_kỳ chiếc boeing không kịp dừng lại cuối đường_băng lao xuống sông cùng và thành_viên phi_hành đoàn""",0,vlsp
"""hhh giả dúi vl""",0,vlsp
"""quang com thực_phẩm thể_hình bạn cố lên""",0,vlsp
tdf2,0,vihsd
"""vani lê chia_sẻ nhạc thánh_ca xin cho được nhiều chứng nhân thêm thợ gặt lúa chín vàng tươi ca_khúc nữ vương ơn gọi sáng_tác hồ_ngọc hoài trình_bày thanh hoài huyền_linh diễm sương hồng_nhung hòa_âm nguyễn_thanh thu âm mix nguyễn_hiền video vincente điểm ca_khúc của hội dòng tông_đồ cầu_nguyện cho ơn gọi hướng tới ngày lễ cầu_nguyện cho ơn gọi linh_mục tu_sĩ mời mọi người lắng_nghe và chia_sẻ nhé linkyoutube linkmp""",0,vlsp
anh phuong trinh có chú ca đây,0,vihsd
ánh sáng của đảng :)),0,vihsd
"""út hít thuận nhờ ace cà ná chia sẽ giúp nhìn tìm dùm chiếc xe vào_khoảng đến đi xe ra quốc_phòng để xe ngây ngã cầu_tàu đường đi thương diêm xe có khoá cổ chủ xe thấy bẻ_khoá chạy dô đường thương diêm nhưng đuổi theo thì ko kịp xe hệt như hình ko khác dì hết ace nào đi xe mới hay xe đẹp nên cẩn_thận đề_phòng kẻ_gian nó vào làng rồi cảm_ơn ace share""",0,vlsp
ten years! really :))),0,vihsd
"""ngầu vl""",0,vlsp
"""vương có bán nhiều mẫu gương led rất đẹp nhé các bạn""",0,vlsp
"""mong linh_hồn chú sớm phật""",0,vlsp
"chữa cháy của việt nam là dập lửa thì đúng hơn. vụ nào trên tivi cũng thấy btv thêm 1 câu "" nhưng do gió to, hiện trường nhiều vật liệu dễ cháy nên đám cháy lan mạnh, sau 6 -8 tiếng mới dập tắt ngọn lửa"". ngăn không cho nó cháy lan ra đã là thành công lắm r",0,vihsd
"""my nguyen hóng_hớt showbiz game đã khó rồi mà còn đặt mấy cái tên khó đỡ nữa chứ nguồn""",0,vlsp
@tiktok official hùa theo là chó vậy mày cũng hùa đó,2,vihsd
nguyễn nhân link cái mã tổ nhà mày à,0,vihsd
ae thấy hay đừng quên đăng ký kênh,0,vihsd
phim tên gì vậy @nguyên thị duyên,0,vihsd
ơ có nhây đâu. là do nhớ nghề mà,0,vihsd
vẫn còn quả nốt ruồi là ổn rồi,0,vihsd
"""minh thư_thế hả kệ""",0,vlsp
"""kimbap kimbap thường hộp kimbap chiên hộp nước mía ly nhận ship bây_giờ sđt""",0,vlsp
tot nhat la tong no vao tu cho sach se,0,vihsd
lương 7-8tr chẳng đủ ăn cơm đâu con ạ. ăn tôm hùm sâu răng đây,0,vihsd
"""có nụ cười toả sáng vđ tại sao bố có mà nó có vô_lí""",1,vlsp
"""tội vl""",0,vlsp
nhớ ngay xưa vụ gján đjệp mỹ dẫn đến sự sup đổ của ljên xô!,0,vihsd
có mỗi cái phòng 4m2 làm thế giới riêng tự tay sắp xếp mọi thứ cũng đéo được yên,0,vihsd
"học ở trường thầy, cô giáo dạy hay lắm yêu tổ quốc, yêu đồng bào yêu hcm mà không thấy dạy là phải yêu bản thân, gia đình ba, mẹ yêu chi những cái xa xôi chết mẹ còn nhỏ biết con mẹ gì cứ nhồi yêu nước, yêu hcm ? sao không yêu những thứ gần gũi với mình ?",2,vihsd
làm giáo án xóa kênh đi thầy,0,vihsd
"""hot_hit hồ ngọc_hà full set đi biển xinh lung_linh như hà_hồ luôn combo in bra áo_choàng quần luôn màu như hình size sm giá iu thương oder ngay hoặc ghé xem hàng trực_tiếp tại laryna store địa_chỉ đường số khu_đô_thị cityland phường quận gò_vấp tầng coffee kairos shopee_shopee com_larynastore tline bảo trân lê_phuong linh""",0,vlsp
"""nghe ức_chế vl""",0,vlsp
ờ,0,vihsd
"từ ngày chung lên thay nhanh , xong chung cho nhanh xập nguồn, thương anh quá, ngu đoé gì mà ngu thế đào tạo đệ tử cũng cần cái ,chí ít ra cũng phải chết thì cũng xin thế cho sư phụ chứ lỵ. cứ hoang mang mãi, đến vụ đồng tâm anh chung đường hoàng thế hoá ra chỉ là anh cahs. tin anh ấy nhá bà con hết cửa , thật đấy",2,vihsd
kéo khoá quần lên kìa anh,0,vihsd
hiền hừm =)))),0,vihsd
"""hanh phuc vl""",0,vlsp
cưng quá trời cưng á,0,vihsd
quocanh tr mu to lắm,0,vihsd
khung qua linh oi tôi sau ma khung nua,2,vihsd
"""nguyễn_đức khánh đông lĩnh kia trả_lời trc đi đã còn đây kèo dự_phòng mà hiha""",0,vlsp
báo chí gì mà nói sạo lộ liễu. nản,2,vihsd
"""là cái dell mà ồn ầm lên trần_sỹ tài xamf ám_ảnh vl""",1,vlsp
"""nói làm gì đến xiền nữa chị ei làm gì còn xiền nhữa hehe""",0,vlsp
"""nó đi chổ khác mở quán mới""",0,vlsp
minh thu pham chồng hư wá z,0,vihsd
